id,host_id,neighbourhood_cleansed,room_type,minimum_nights,review_scores_rating
466330,2315890,ISOLA,Entire home/apt,2,5.0
553285,2718914,CENTRALE,Entire home/apt,4,4.79
470014,2332044,GARIBALDI REPUBBLICA,Private room,90,4.5
564917,1915680,PARCO LAMBRO - CIMIANO,Private room,2,4.55
470276,748765,NAVIGLI,Private room,1,4.01
470284,748765,NAVIGLI,Private room,1,4.46
470295,748765,NAVIGLI,Private room,1,4.34
566637,2787018,BUENOS AIRES - VENEZIA,Entire home/apt,1,4.79
472998,2345724,BANDE NERE,Private room,1,4.79
473121,464145,RIPAMONTI,Private room,2,
567935,2794370,TICINESE,Entire home/apt,2,4.86
496612,2452841,PORTA ROMANA,Entire home/apt,2,4.51
579191,2848811,S. CRISTOFORO,Entire home/apt,3,4.84
504777,2482725,WASHINGTON,Entire home/apt,7,5.0
582623,2869541,ISOLA,Entire home/apt,2,4.13
509374,2510220,SARPI,Entire home/apt,3,4.63
524751,2565563,STADERA,Private room,3,4.87
584568,2880078,GALLARATESE,Private room,1,4.63
527181,2775290,CITTA' STUDI,Entire home/apt,365,0.0
589496,2787018,BUENOS AIRES - VENEZIA,Entire home/apt,1,4.78
601343,1380892,CENTRALE,Entire home/apt,1,4.24
528331,2595505,LORETO,Private room,1,4.86
602405,2980678,TICINESE,Entire home/apt,5,4.7
530224,2604325,LORETO,Entire home/apt,2,4.74
618059,2869541,ISOLA,Private room,3,4.29
621791,380378,VIGENTINA,Entire home/apt,4,4.67
541221,1442498,TICINESE,Entire home/apt,1,4.29
925938,4981679,BUENOS AIRES - VENEZIA,Private room,2,4.67
626619,3110598,RIPAMONTI,Entire home/apt,1,0.0
930303,5010885,PAGANO,Entire home/apt,2,4.93
645501,2158679,MAGENTA - S. VITTORE,Entire home/apt,30,5.0
665967,3366375,PORTA ROMANA,Entire home/apt,2,4.93
932684,5023179,GUASTALLA,Entire home/apt,3,4.78
667941,3379882,LAMBRATE,Private room,3,5.0
933303,1373018,UMBRIA - MOLISE,Entire home/apt,2,5.0
671609,3404692,XXII MARZO,Entire home/apt,7,4.83
933852,1178668,GIAMBELLINO,Private room,3,4.96
934346,1178668,LORENTEGGIO,Entire home/apt,3,4.4
935594,5047682,BRERA,Entire home/apt,1,4.54
679442,3456315,SARPI,Entire home/apt,7,4.84
938960,514653,CITTA' STUDI,Private room,2,4.2
682825,2842270,BRERA,Private room,2,5.0
946414,5128575,BANDE NERE,Entire home/apt,2,4.9
949022,2057564,TICINESE,Private room,2,4.73
950392,5155849,NAVIGLI,Entire home/apt,2,4.84
691171,1957255,PADOVA,Private room,1,4.53
957146,5198700,SARPI,Entire home/apt,2,4.85
959677,5221801,BUENOS AIRES - VENEZIA,Private room,2,4.83
959718,5222974,WASHINGTON,Entire home/apt,2,4.88
691643,1957255,PADOVA,Entire home/apt,5,4.18
961760,5237955,BUENOS AIRES - VENEZIA,Entire home/apt,2,4.78
962104,2452841,GUASTALLA,Entire home/apt,1,4.29
691738,3043909,ISOLA,Entire home/apt,3,4.53
963222,5248666,SARPI,Entire home/apt,1,4.96
693920,2978054,ISOLA,Entire home/apt,2,4.97
965636,4782086,WASHINGTON,Entire home/apt,1,4.84
966693,2158679,NAVIGLI,Entire home/apt,50,
696445,3559652,GARIBALDI REPUBBLICA,Private room,1,4.73
967905,3935980,UMBRIA - MOLISE,Private room,2,4.65
698687,3581658,XXII MARZO,Entire home/apt,10,4.92
699290,1957255,PADOVA,Shared room,1,4.67
970760,1808403,SARPI,Entire home/apt,1,4.84
702139,3580858,GHISOLFA,Entire home/apt,2,4.86
974116,5327727,LORETO,Entire home/apt,7,4.33
709463,3008902,TORTONA,Entire home/apt,4,4.36
975346,1296653,NAVIGLI,Entire home/apt,1,4.57
709966,3653422,GUASTALLA,Entire home/apt,31,4.63
976417,5380779,BUENOS AIRES - VENEZIA,Entire home/apt,6,4.8
710637,2158679,NAVIGLI,Entire home/apt,260,5.0
976705,5344212,MAGENTA - S. VITTORE,Entire home/apt,3,4.82
711493,3661755,NAVIGLI,Entire home/apt,2,4.78
713411,1527671,GIAMBELLINO,Entire home/apt,1,4.79
976817,5344721,TICINESE,Private room,5,4.5
982767,1812431,TICINESE,Entire home/apt,1,4.07
982808,5384564,TICINESE,Entire home/apt,2,4.97
713786,335105,DUOMO,Entire home/apt,2,4.64
715082,3682643,QT 8,Entire home/apt,180,4.86
984531,2297441,BUENOS AIRES - VENEZIA,Entire home/apt,5,5.0
715392,559562,MAGENTA - S. VITTORE,Entire home/apt,4,4.92
985287,5405314,NAVIGLI,Entire home/apt,2,4.9
715925,1750205,UMBRIA - MOLISE,Entire home/apt,30,1.0
990146,5436541,TORTONA,Entire home/apt,7,4.67
717747,3700434,XXII MARZO,Entire home/apt,20,4.4
993588,1697947,MAGENTA - S. VITTORE,Entire home/apt,1,3.75
993909,1697947,TORTONA,Private room,1,
996094,5044367,NAVIGLI,Entire home/apt,3,5.0
718020,1749204,S. CRISTOFORO,Private room,4,4.35
723981,3742633,CENTRALE,Private room,1,4.43
996360,5474184,SARPI,Entire home/apt,2,4.52
996428,1452929,BRERA,Entire home/apt,180,5.0
726493,3759926,S. CRISTOFORO,Entire home/apt,30,4.42
1001862,240054,PADOVA,Entire home/apt,3,5.0
730692,3800185,PADOVA,Entire home/apt,60,4.4
1005537,5530164,ADRIANO,Entire home/apt,1,4.56
737797,2347489,BOVISA,Shared room,6,4.96
1006897,5538376,EX OM - MORIVIONE,Entire home/apt,2,5.0
739252,3798545,MAGENTA - S. VITTORE,Entire home/apt,2,4.84
1008610,5547524,VIGENTINA,Entire home/apt,1,5.0
752066,2188448,STADERA,Private room,1,4.67
1012803,5416717,DUOMO,Private room,1,3.0
1013625,5436640,DERGANO,Entire home/apt,5,5.0
753046,3961167,GUASTALLA,Entire home/apt,3,4.62
1013746,5576078,QUINTO ROMANO,Shared room,1,0.0
756000,3742633,CENTRALE,Private room,1,4.64
1013771,5576078,QUINTO ROMANO,Private room,15,
1019216,1697947,TORTONA,Entire home/apt,1,
756319,3981376,TICINESE,Entire home/apt,1,4.53
1019966,5572694,BUENOS AIRES - VENEZIA,Entire home/apt,2,4.41
